Siduri,SiduriMakorPitzul,wave,s_seker,MishkalMb,HRibitShnatit,HHashkaotShnatit,HDividendShnatit,HSchirutShnatit,HEsekShnatit,sumHAnashimShnatit,sumHGemelShnatit,sumHHishShnatit,sumHHulShnatit,sumHMilgaShnatit,sumHPensiaShnatit,sumHMosdotShnatitnew,SacShnatikolel_Lembnew,SachNefashot,Nefashot0_17,Nefashot18up,Men18up,Women18up,MisparKoma1,m_SetachMigrashBayitprati,M_ShuviDira,MbNifkadGalKodem,Ozeret1,k_ShaotOzeret1,TahasokaAcheretOzeret1,TahasokaOzeretMesh1,TahasokaOzeretSiu1,TahasokaOzeretYeLed1,Meconit1,k_MispMeconiyot1,Sfarim1,MazavKAtid1,MazavKAvar1,ChisachonAtid1,ChisachonHayom1,IdkunBaalut1,IdkunMegurimSchirut1,k_baalut1,m_DmeSchirutChodeshi,SinuyDira21,SinuyDiraP21,SugDira1,MspDirotBeKomatMegurim1,MispKomotBinyan1,MispDirotBinyan1,DiraMedurag1,SetachBayitpratY1,SetachDira1,MekorSetach1,K_MispHadarim1,K_MispHadarimMegurim1,MirpesetSherut1,ChederAronot1,MachsanBetochD1,MachsanMiD1,KamaSherutim1,ChanayaPratit1,AimMekura1,Maaliyot1,MirpesetChitzonit1,KamaMirpeset1,GinaPratit1,KamaGinaPratit1,GodelGinaPratit1,k_mizug1,HasakaPratit1,Kivun1,KamaKivun1,NofYam1,NofSetachYarok1,NofGag1,NofKvish1,NofRakevet1,NofAntena1,NofKvishPnimi1,NofSetachPatuch1,BaayaChoshech1,BaayaKvish1,BaayaRakevet1,BaayaMatos1,BaayaBiluy1,BaayaChinuch1,BaayaMifal1,BaayaZevel1,BaayaZihum1,BaayaRech1,BaayaHaznacha1,ShanaBniya1,OfenBaalut1,Mocher1,ShanaRechishaK1,ChodeshRechishaK1,MechirKnuya1,MatbeaKnuya1,ShanaRechishaB1,ChodeshRechishaB1,OfenBaalutMigrash1,MechirBniya1,MatbeaBniya1,AlutBniya1,MatbeaAlutBniya1,HagdalatDira1,SinuyimPnimiimBDira1,ShuviDiraYoter1
3135,,5,2017,436.4013336,0,0,0,0,0,0,0,0,0,0,0,0,10488,4,2,2,1,1,,,,1,2,,,,,,2,,2,2,2,1,2,,,3,,,,4,1,2,1,2,,100,3,2,2,2,2,2,2,1,2,,0,2,,2,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3136,,5,2017,619.5836059,0,0,0,0,0,0,0,0,0,0,43167,35019,100605,7,5,2,1,1,,,,2,2,,,,,,1,1,3,2,5,4,5,,,3,,,,4,1,2,1,2,,120,4,3,3,2,2,2,2,2,2,,0,1,1,,,,2,3,1,4,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,8,,,,,,,,,,,,,,2,2,
3137,,5,2017,558.5228485,0,0,0,0,0,0,0,0,0,0,0,8568,248568,6,4,2,1,1,,,700000,1,2,,,,,,1,1,3,99999998,3,99999998,5,1,,1,,2,2,4,1,3,1,2,,200,4,5,4,2,2,2,2,2,2,,0,2,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,10,2,,,,,,99999998,99999998,3,,,,,,,
3140,,5,2017,373.8509695,0,0,0,0,0,0,0,0,0,0,0,4056,272268,4,2,2,1,1,,,,1,2,,,,,,1,2,4,3,4,2,4,,1,2,2000,,,4,1,3,1,2,,45,4,2,2,2,2,2,2,1,,,0,2,,1,1,20,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3141,,5,2017,802.2648312,0,0,0,0,0,0,0,0,0,0,0,21225.75,86025.75,8,6,2,1,1,,,99999998,2,2,,,,,,2,,5,3,4,4,5,,,1,,,,4,1,3,2,1,,90,4,4,4,2,2,2,2,2,2,,0,,,2,,,2,3,6,3,2,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,5,1,1,2012,5,1250000,1,,,,,,,,2,2,
3142,,5,2017,479.943832,0,0,0,0,0,0,0,0,0,0,0,41424,41424,2,0,2,1,1,,,99999998,1,2,,,,,,1,1,2,3,3,4,3,1,,1,,2,2,4,1,4,1,1,,85,3,3,2,2,2,2,2,1,2,,0,,,2,,,2,2,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,
3143,,5,2017,306.70321,0,0,0,0,0,0,0,0,0,0,0,95828.91667,189828.9167,16,4,12,7,5,,,,1,2,,,,,,1,1,1,4,4,4,5,,1,2,53.314,,,4,2,1,3,2,,32,3,4,4,2,2,2,2,1,,,0,2,,2,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3144,,5,2017,358.9884898,0,0,0,0,0,0,0,0,0,0,0,49543.33333,151543.3333,9,5,4,2,2,,,,1,1,2,2,1,2,2,1,2,2,5,5,4,5,,1,2,2268.72,,,4,2,4,2,2,,50,3,4,3,2,2,2,2,2,,,0,2,,2,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3145,,5,2017,275.6836012,0,0,0,0,0,0,0,0,0,0,0,0,132000,1,0,1,0,1,,,,1,2,,,,,,1,1,3,3,2,1,2,,,2,1100,,,4,1,1,1,2,,35,4,2,2,2,2,2,2,1,2,,0,1,1,,,,3,3,99999998,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,99999998,,,,,,,,,,,,,,,,
3147,,5,2017,436.4013336,0,0,0,0,0,0,0,0,0,0,0,27044,36795.37121,4,2,2,1,1,,,,1,2,,,,,,1,1,1,2,5,99999998,5,,,3,,,,4,1,2,1,2,,99,3,3,3,2,2,2,2,1,2,,0,2,,2,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3148,,5,2017,402.4498254,0,0,0,0,0,0,0,0,0,0,0,4056,76334.64815,4,2,2,1,1,,,99999998,1,2,,,,,,1,1,2,3,3,4,3,1,,1,,2,2,4,1,4,1,2,,105,3,3,2,1,2,2,2,1,2,,0,2,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,,99999998,99999998,3,,,,,,,
3149,,5,2017,735.9758924,0,0,0,0,0,0,0,0,0,0,0,4056,281256,4,2,2,1,1,,,,1,2,,,,,,1,2,4,2,2,2,2,,,3,,,,4,6,3,4,2,,130,3,4,3,1,1,2,2,2,2,,0,1,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3150,,5,2017,467.0818259,0,0,0,0,0,0,0,0,0,0,0,0,140390,1,0,1,1,0,,,,2,2,,,,,,1,1,1,3,3,2,2,,,2,4000,,,4,4,4,2,2,,40,4,1,1,2,2,2,2,1,2,,2,2,,,,,2,3,4,2,2,1,1,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,99999998,,,,,,,,,,,,,,,,
3152,,5,2017,376.4353384,0,0,0,0,0,0,0,0,0,0,176642,1339.916667,348381.9167,3,0,3,2,1,,,99999998,1,2,,,,,,1,3,5,4,4,4,3,1,,1,,2,2,1,4,3,3,2,,100,4,4,3,1,1,1,2,2,1,1,1,2,,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,4,1,1,1976,99999998,99999998,,,,,,,,,,,
3155,,5,2017,795.1140032,0,0,0,38000,0,0,0,0,0,0,0,24189.5,487091.5,5,3,2,1,1,,,,1,1,1,2,1,2,2,1,2,4,2,3,2,2,,1,2,3400,,,8,,,,2,,90,3,4,4,2,2,2,2,1,1,2,0,2,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3159,,5,2017,351.6706292,0,0,0,0,0,0,0,0,0,0,0,8568,68568,6,4,2,1,1,,,,1,2,,,,,,2,,1,3,4,4,5,,1,2,3000,,,6,,,,2,,100,4,3,3,1,2,2,2,2,,,0,2,,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3160,,5,2017,871.5549954,0,0,0,0,0,0,0,0,0,0,0,23243,100640.2381,2,0,2,1,1,,,99999998,1,2,,,,,,1,1,6,99999998,3,4,3,1,,1,,2,2,2,2,1,1,2,,99999998,,3,3,2,2,2,2,1,2,,0,2,,1,1,99999998,3,3,,,,,,,,,,,,,,,,,,,,,,99999998,1,99999998,99999998,99999998,99999998,,,,,,,,,,,
3162,,5,2017,746.3285845,0,0,0,0,0,0,0,0,0,0,0,3181,30181,6,4,2,1,1,,,,1,2,,,,,,1,2,5,3,3,4,3,,1,2,3500,,,2,1,2,1,2,,95,2,4,2,1,99999998,2,2,1,,,0,2,,1,1,99999998,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3164,,5,2017,488.3797638,0,0,0,0,0,48000,0,0,0,0,0,4056,101556,3,2,1,0,1,,,,1,2,,,,,,1,1,3,3,4,3,3,,1,2,3000,,,8,,,,2,,72,4,3,3,2,2,2,2,1,,,0,2,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3167,,5,2017,419.1259326,0,0,0,0,0,0,0,0,0,0,0,4056,256056,4,2,2,1,1,,,99999998,1,2,,,,,,1,2,2,3,3,3,3,1,,1,,2,2,4,1,3,1,2,,90,3,3,2,2,2,2,2,2,2,,0,2,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,99999998,99999998,1,99999998,,99999998,,,,
3168,,5,2017,419.1259326,0,0,0,0,0,0,0,0,0,0,0,4103,76103,4,2,2,1,1,,,99999998,1,2,,,,,,2,,3,3,3,3,3,1,,1,,2,2,4,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,,99999998,99999998,1,99999998,,99999998,,,,
3170,,5,2017,693.7430114,0,0,0,0,0,0,0,0,0,0,0,4056,220502,4,2,2,1,1,,,3800000,2,2,,,,,,1,1,3,2,3,2,2,,,1,,,,6,,,,2,,150,3,5,5,2,2,2,2,3,2,,0,2,,,,,1,3,1,3,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,6,99999999,,,,,,,,,,,,,2,2,
3172,,5,2017,692.5924815,413.41,3543.53,0,6347.14,0,0,0,0,0,0,163628.47,22534.69,1788118.56,3,0,3,1,2,,500,4000000,1,2,,,,,,1,2,5,1,3,4,4,1,,1,,2,2,7,,,,1,,300,3,5,3,1,1,2,2,5,1,2,0,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,10,2,,,,,,2012,2,4,50000,2,2000000,1,,,3
3173,,5,2017,735.1886842,0,0,0,0,0,0,0,0,0,0,0,17709,32709,1,0,1,0,1,,,1500000,1,2,,,,,,1,1,5,3,3,4,3,1,,1,,2,2,4,4,9,4,2,,130,3,4,4,2,1,2,2,2,1,2,2,1,1,2,,,1,2,,,,,,,,,,,,,,,,,,,,,,8,1,2,2003,3,130000,2,,,,,,,,,,3
3174,,5,2017,604.5932272,0,0,0,0,0,0,0,0,0,0,0,34098.25,118098.25,2,0,2,1,1,,,400000,1,1,1,2,1,2,2,1,1,1,3,3,4,3,1,,1,,2,2,4,2,3,2,2,,90,4,4,3,1,2,2,2,1,2,,0,2,,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,4,1,3,1973,3,8500,7,,,,,,,,,,
3178,,5,2017,459.993897,0,0,0,0,0,0,0,0,0,0,0,0,85077,3,0,3,1,2,,500,1500000,1,2,,,,,,1,2,5,2,2,2,2,1,,1,,2,2,7,,,,1,,200,4,5,5,2,1,1,2,2,2,,0,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,7,1,1,2003,99999998,220000,2,,,,,,,,,,
3180,,5,2017,664.7103934,0,0,0,0,0,0,0,0,0,0,0,1800,99800,4,1,3,2,1,,,99999998,1,2,,,,,,1,1,5,3,3,3,3,1,,1,,2,2,8,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,2,2001,99999998,99999998,,,,,,,,,,,
3181,,5,2017,381.4050057,0,0,0,0,0,0,0,0,0,0,82668,53878,283837,2,0,2,1,1,,,1700000,1,2,,,,,,1,1,3,3,3,2,2,1,,1,,2,2,2,2,4,2,2,,100,4,3,3,1,2,2,1,2,1,2,1,2,,1,2,50,2,3,,,,,,,,,,,,,,,,,,,,,,7,1,1,2008,10,711000,1,,,,,,,,,,
3183,,5,2017,294.1447093,0,0,0,0,0,0,0,0,0,0,0,38208,38208,2,0,2,1,1,,,99999998,1,2,,,,,,1,1,5,3,3,4,3,1,,1,,2,2,5,,,,2,,200,4,5,3,2,1,2,2,3,1,1,0,1,1,1,1,99999998,1,3,,,,,,,,,,,,,,,,,,,,,,99999998,1,99999998,99999998,99999998,99999998,,,,,,,,,,,
3185,,5,2017,588.8460784,0,0,0,0,0,0,0,0,0,0,185642,33408.66667,318635.6667,2,0,2,1,1,,560,99999998,1,2,,,,,,1,2,5,3,3,2,2,1,,1,,2,2,8,,,,2,,220,3,5,5,2,2,2,2,4,1,1,0,2,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,7,1,2,1999,4,300000,2,,,,,,,,,,
3186,,5,2017,366.2589849,0,0,0,0,0,0,0,0,0,0,0,79853.66667,79853.66667,3,0,3,2,1,,,99999998,1,2,,,,,,2,,5,99999998,5,4,3,1,,1,,2,2,2,3,2,2,2,,90,3,4,4,1,2,2,2,2,2,,0,2,,1,1,50,2,2,,,,,,,,,,,,,,,,,,,,,,6,1,2,1992,12,67000,1,,,,,,,,,,
3195,,5,2017,306.9119796,0,0,0,0,0,0,0,0,0,0,83212,59256,220468,2,0,2,1,1,,,,1,1,1,2,1,2,2,1,1,3,3,3,4,3,,,6,,,,8,,,,2,,70,4,3,3,2,2,2,1,2,2,,0,1,1,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3197,,5,2017,1754.591938,0,0,0,0,0,0,0,0,0,0,0,0,62060,4,0,4,3,1,,,1500000,1,2,,,,,,1,1,4,3,3,3,3,1,,1,,2,2,4,4,4,3,2,,119,3,4,4,1,2,2,1,2,2,,0,2,,2,,,3,3,,,,,,,,,,,,,,,,,,,,,,3,1,1,99999998,99999998,68000,2,,,,,,,,,,
3198,,5,2017,577.9177227,0,0,0,0,0,0,0,0,0,0,0,60860,180860,2,0,2,1,1,,,99999998,1,2,,,,,,1,1,4,99999998,3,4,3,1,,1,,2,2,4,4,4,3,2,,90,3,4,2,2,2,2,2,2,1,2,1,2,,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,5,1,2,1980,6,50000,2,,,,,,,,,,
3199,,5,2017,336.4031604,0,0,0,0,0,0,0,0,0,0,288000,40598.66667,535798.6667,3,0,3,1,2,,,3000000,1,1,1,2,1,2,2,1,2,3,3,3,3,3,1,,1,,2,2,5,,,,2,,158,3,5,4,1,2,2,2,3,1,1,0,1,1,1,1,78,1,3,,,,,,,,,,,,,,,,,,,,,,9,2,,,,,,2006,1,1,108000,2,200000,2,,,
3201,,5,2017,826.3578763,0,0,0,0,0,0,0,0,0,0,30000,37092,67092,1,0,1,0,1,,,99999998,1,1,1,2,1,2,2,2,,4,99999998,3,2,2,1,,1,,2,2,4,2,4,4,2,,80,4,3,2,2,1,1,2,1,2,,0,1,1,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,99999998,1,2,99999998,99999998,99999998,,,,,,,,,,,
3203,,5,2017,988.3784378,0,0,0,0,0,0,0,0,0,0,0,41340,42073.04861,2,0,2,2,0,,,,2,2,,,,,,1,1,1,5,5,4,3,,,3,,,,2,6,3,2,2,,85,4,4,3,2,2,2,2,2,1,1,0,1,1,,,,2,3,3,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,9,,,,,,,,,,,,,,2,2,
3204,,5,2017,1334.034983,0,0,0,0,0,0,0,0,0,0,58394,27564,85958,1,0,1,1,0,,,1500000,1,2,,,,,,2,,1,4,4,4,3,1,,1,,2,2,4,3,5,3,2,,80,4,4,2,1,2,2,2,1,2,,1,2,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,6,1,1,1998,11,150000,2,,,,,,,,,,
3205,,5,2017,624.2358584,0,0,0,84000,0,0,0,0,40800,0,96000,48535,269335,2,0,2,1,1,,600,1500000,1,2,,,,,,1,1,3,3,3,3,2,1,,1,,2,2,8,,,,2,,170,3,5,2,2,2,2,2,3,2,,0,1,1,,,,2,3,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,,99999998,99999998,1,99999998,,99999998,,,,
3207,,5,2017,669.425802,0,0,0,0,0,0,0,0,0,0,48000,32999,80999,1,0,1,0,1,,,99999998,1,2,,,,,,2,,5,3,3,4,3,1,,1,,2,2,4,3,3,2,2,,99999998,,2,2,1,2,2,2,1,2,,0,2,,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,99999998,1,1,99999998,99999998,99999998,,,,,,,,,,,
3209,,5,2017,630.661469,0,0,0,0,0,0,0,0,0,0,48000,52610,142610,2,0,2,1,1,0,,3000000,1,2,,,,,,1,1,3,3,3,3,3,1,,1,,1,2,8,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,,1976,2,2,99999998,,180000,7,,,
3210,,5,2017,857.6291436,0,0,0,0,0,0,0,0,0,0,30000,55128,85128,2,0,2,1,1,,,99999998,1,2,,,,,,2,,4,4,4,4,4,1,,1,,2,2,8,,,,2,99999998,144,3,5,4,2,2,2,1,1,2,,0,2,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,,99999998,99999998,1,5,1,99999998,,,,
3211,,5,2017,559.3231895,0,0,0,0,0,0,0,0,0,0,0,55788,243912,2,0,2,1,1,,,,1,1,2,99999998,1,1,99999998,1,1,3,2,3,4,3,,1,2,2300,,,4,2,3,2,2,,105,3,3,3,1,2,2,2,2,1,2,1,1,2,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3212,,5,2017,267.574204,0,0,0,0,0,0,0,0,0,0,44808,29112,73920,1,0,1,1,0,,,99999998,1,1,4,2,1,1,2,2,,5,3,3,4,4,,,6,,,,8,,,,2,,70,4,3,3,2,2,2,2,1,2,,0,2,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3214,,5,2017,209.5709912,0,0,0,0,0,0,0,0,0,0,0,36558,36558,1,0,1,0,1,,550,1000000,1,2,,,,,,2,,4,3,3,3,3,1,,1,,2,2,8,,,,2,,82,4,4,2,2,2,2,1,1,2,,0,1,1,,,,2,3,,,,,,,,,,,,,,,,,,,,,,10,2,,,,,,2013,9,1,140000,1,600000,1,,,
3216,,5,2017,725.2559513,0,0,0,0,0,0,0,0,0,0,19270,55128,74398,2,0,2,1,1,,7000,99999998,1,2,,,,,,1,1,3,3,3,3,3,1,,1,,2,2,8,,,,2,,240,3,5,2,2,1,1,1,2,1,1,0,1,1,,,,1,3,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,1967,99999998,4,1,1,120000,7,,,
3218,,5,2017,664.1707292,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,2,1,,,99999998,2,2,,,,,,2,,2,4,4,3,3,,,1,,,,4,1,2,1,2,,100,4,2,2,2,2,2,2,1,2,,0,2,,,,,3,1,3,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,3,2,,,,,,99999998,99999998,1,99999998,,99999998,,2,2,
3219,,5,2017,399.3144613,0,0,0,0,0,0,0,0,0,0,0,33672,285672,10,5,5,2,3,,,,1,2,,,,,,1,1,3,3,2,3,3,,1,2,2268.72,,,4,2,2,1,2,,90,4,4,3,2,2,2,2,1,2,,0,2,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3220,,5,2017,339.8707278,0,0,0,0,0,0,0,0,0,0,0,20131.5,20131.5,10,2,8,5,3,,,99999998,2,2,,,,,,1,1,3,3,3,3,3,,,1,,,,4,2,2,1,2,,120,4,3,2,2,2,2,2,1,2,,0,2,,,,,3,1,2,3,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,5,2,,,,,,99999998,99999998,1,99999998,,99999998,,2,2,
3222,,5,2017,281.0727665,0,0,0,0,0,0,0,0,0,0,0,4538.25,208538.25,10,2,8,5,3,,,,1,2,,,,,,1,2,3,5,5,3,3,,1,2,2000,,,4,1,10,2,2,,110,4,3,3,2,2,2,2,1,2,,1,2,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3223,,5,2017,174.1546638,0,0,0,0,0,0,0,0,0,0,0,39715,124915,3,0,3,2,1,,,,1,2,,,,,,1,1,2,3,3,4,3,,,2,2300,,,4,2,8,3,2,,90,4,3,3,2,2,2,2,2,2,,1,2,,,,,3,3,4,3,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,99999998,,,,,,,,,,,,,,,,
3224,,5,2017,395.0278541,0,0,0,0,0,0,0,0,0,0,0,0,204000,5,0,5,3,2,,,99999998,1,2,,,,,,1,2,2,3,4,4,3,1,,1,,2,2,4,2,3,2,1,,90,4,3,2,2,2,2,2,2,2,,1,,,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,9,1,1,2010,5,500000,1,,,,,,,,,,
3225,,5,2017,314.165896,0,0,0,0,0,0,0,0,0,0,0,41424,89424,5,0,5,2,3,,1000,99999998,1,2,,,,,,1,2,2,4,4,3,3,1,,1,,2,2,8,,,,2,,120,4,4,4,2,2,1,2,2,2,,0,2,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,99999998,99999998,1,99999998,,99999998,,,,
3226,,5,2017,568.2472364,0,0,0,0,0,0,0,0,0,0,0,0,60000,3,0,3,2,1,,,,2,2,,,,,,1,1,1,5,5,4,5,,,1,,,,4,2,3,2,2,,90,3,2,2,2,2,2,2,1,2,,0,2,,,,,3,3,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,3,3,,,,,,,,,,,,,2,2,
3228,,5,2017,292.4436909,0,0,0,0,0,0,0,0,0,0,0,20620,20620,1,0,1,0,1,,,99999998,1,2,,,,,,2,,2,4,4,4,4,1,,1,,2,2,4,1,2,1,2,,99999998,,3,1,2,2,2,2,1,2,,0,2,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,99999998,99999998,1,99999998,,99999998,,,,
3229,,5,2017,512.0013063,0,0,0,0,0,0,0,0,0,0,0,0,16000,2,0,2,0,2,,,,1,2,,,,,,1,1,5,3,3,3,3,,1,2,2646.84,,,4,2,3,1,2,,135,3,3,2,2,2,2,2,2,,,0,2,,2,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3230,,5,2017,294.2584575,0,0,0,0,0,0,0,0,0,0,0,36076,36076,1,0,1,0,1,,,99999998,1,2,,,,,,2,,2,4,4,3,3,1,,1,,2,2,4,2,2,1,2,,108,3,3,2,2,2,2,2,2,2,,0,2,,2,,,3,1,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,99999998,99999998,1,99999998,,99999998,,,,
3231,,5,2017,399.2464274,0,0,0,0,0,0,0,0,0,0,0,0,36000,3,0,3,1,2,,,,1,2,,,,,,1,1,2,4,4,4,5,,1,2,666.425,,,1,2,1,1,2,,33,3,2,2,2,2,2,2,1,,,0,2,,2,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3232,,5,2017,391.0496687,0,0,0,0,0,0,0,0,0,0,0,4056,160056,4,2,2,1,1,,,,1,2,,,,,,1,1,2,4,4,3,3,,1,2,3000,,,4,2,7,3,2,,99999998,,3,2,2,2,2,2,1,2,,1,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3233,,5,2017,670.9151594,0,0,0,0,0,0,0,0,0,0,0,33408,159208,10,4,6,4,2,,,,2,2,,,,,,1,2,2,3,4,4,3,,,1,,,,8,,,,2,99999998,99999998,,5,5,2,2,2,2,3,2,,0,2,,,,,2,3,4,4,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,1,8,3,,,,,,,,,,,,,2,1,
3234,,5,2017,737.4299437,0,0,0,0,0,0,0,0,0,0,0,15428.5,87428.5,6,1,5,3,2,,,99999998,1,2,,,,,,2,,2,4,4,3,3,1,,1,,2,2,4,2,3,2,2,,100,4,3,2,2,2,2,2,1,2,,0,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,99999998,99999998,1,99999998,,99999998,,,,
3235,,5,2017,412.965004,0,0,0,0,0,0,0,0,0,0,12000,27970,39970,2,0,2,1,1,,,,1,2,,,,,,2,,1,4,4,3,4,,1,2,2200,,,4,2,3,1,2,,129,3,3,2,2,2,2,2,1,,,2,1,2,2,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3236,,5,2017,121.145006,0,0,0,0,0,0,0,0,0,0,0,70639,123439,3,0,3,3,0,,,,1,2,,,,,,2,,1,4,4,4,5,,1,2,756.24,,,4,2,2,2,2,,46,3,2,2,2,2,2,2,1,,,0,2,,2,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3237,,5,2017,586.6566578,0,0,0,0,0,0,0,0,0,0,0,84.66666667,120084.6667,7,1,6,3,3,,,99999998,1,2,,,,,,1,1,2,4,4,3,3,1,,1,,2,2,4,1,1,1,2,,90,3,2,2,2,2,2,2,1,2,,0,2,,2,,,3,3,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,
3239,,5,2017,534.1728431,0,0,0,0,0,0,0,0,0,0,0,8568,8568,5,3,2,1,1,,,99999998,1,2,,,,,,2,,1,4,4,3,3,1,,1,,2,2,4,3,6,3,1,,70,3,2,2,2,2,2,2,1,2,,0,,,2,,,3,2,,,,,,,,,,,,,,,,,,,,,,8,1,1,2004,1,99999999,,,,,,,,,,,
3240,,5,2017,552.2005677,0,0,0,0,0,0,0,0,0,0,0,7001.333333,132201.3333,11,5,6,3,3,,,99999998,1,2,,,,,,2,,3,4,4,3,3,1,,1,,2,2,4,1,3,1,2,,140,3,3,3,2,2,2,2,2,2,,0,1,1,,,,3,3,,,,,,,,,,,,,,,,,,,,,,9,2,,,,,,99999998,99999998,3,,,,,,,
3241,,5,2017,174.8413517,0,0,0,0,0,0,0,0,0,0,0,42502.66667,124502.6667,7,3,4,1,3,,,99999998,1,2,,,,,,1,1,1,4,4,4,5,1,,1,,2,2,2,1,1,1,2,,180,4,4,3,2,2,2,2,2,2,,0,2,,2,,,3,2,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,,2000,10,1,99999998,,99999998,,,,
3242,,5,2017,314.7419697,0,0,0,0,0,0,0,0,0,0,0,57782,99782,10,6,4,2,2,,,99999998,1,2,,,,,,2,,1,5,5,3,3,1,,1,,2,2,4,1,3,1,2,,100,4,3,3,2,2,2,2,2,2,,0,2,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,99999998,99999998,1,99999998,,99999998,,,,
3243,,5,2017,486.8310116,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1,1,,,,1,2,,,,,,2,,1,3,4,4,5,,,7,,,,4,4,2,1,2,,25,3,1,1,2,2,2,2,1,,,0,2,,2,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
