Siduri,SiduriMakorPitzul,wave,s_seker,MishkalMb,HRibitShnatit,HHashkaotShnatit,HDividendShnatit,HSchirutShnatit,HEsekShnatit,sumHAnashimShnatit,sumHGemelShnatit,sumHHishShnatit,sumHHulShnatit,sumHMilgaShnatit,sumHPensiaShnatit,sumHMosdotShnatitnew,SacShnatikolel_Lembnew,zkifa_PensiaLemb,SachNefashot,Nefashot0_17,Nefashot18up,Men18up,Women18up,AimShinuiKtovet,KesefHutzAcher,MeshivHitnahalut,m_SetachMigrashBayitprati,SugMatbeaHutzAcher,HaskaPikdon1,HaskaChisachon1,HaskaNeemanut1,HaskaLoNeemanut1,SchumHalvaaLoDiyur1,m_HalvaaDiyur,m_HalvaaLoDiyur,m_MisgeretAshrai,m_YeshAshrai,M_ShuviDira,YitraNEMenayotBAhuz1,YitraNEMenayotBSchum1,YitraNEAgachMemshaltiBAhuz1,YitraNEAgachMemshaltiBSchum1,Ozeret1,k_ShaotOzeret1,TahasokaAcheretOzeret1,TahasokaOzeretMesh1,TahasokaOzeretSiu1,TahasokaOzeretYeLed1,Meconit1,k_MispMeconiyot1,Sfarim1,meshiv_hacnasot,MazavKAtid1,MazavKAvar1,ChisachonAtid1,ChisachonHayom1,Meshiv_Nechasim,IdkunBaalut1,IdkunMegurimSchirut1,k_baalut1,m_DmeSchirutChodeshi,SinuyDira21,SinuyDiraP21,SugDira1,MisparKoma1,MspDirotBeKomatMegurim1,MispKomotBinyan1,MispDirotBinyan1,DiraMedurag1,SetachBayitpratY1,SetachDira1,MekorSetach1,K_MispHadarim1,K_MispHadarimMegurim1,MirpesetSherut1,ChederAronot1,MachsanBetochD1,MachsanMiD1,KamaSherutim1,ChanayaPratit1,AimMekura1,Maaliyot1,MirpesetChitzonit1,KamaMirpeset1,GinaPratit1,KamaGinaPratit1,GodelGinaPratit1,k_mizug1,HasakaPratit1,Kivun1,KamaKivun1,NofYam1,NofSetachYarok1,NofGag1,NofKvish1,NofRakevet1,NofAntena1,NofKvishPnimi1,NofSetachPatuch1,BaayaChoshech1,BaayaKvish1,BaayaRakevet1,BaayaMatos1,BaayaBiluy1,BaayaChinuch1,BaayaMifal1,BaayaZevel1,BaayaZihum1,ShanaBniya1,OfenBaalut1,Mocher1,ShanaRechishaK1,ChodeshRechishaK1,MechirKnuya1,MatbeaKnuya1,ShanaRechishaB1,ChodeshRechishaB1,OfenBaalutMigrash1,MechirBniya1,MatbeaBniya1,AlutBniya1,MatbeaAlutBniya1,HagdalatDira1,SinuyimPnimiimBDira1,ShuviDiraYoter1,BaalutDiraLLoBealim1,BaalutDiraLLoBealimKama1,AtidMechiraDira1,AtidMechiraDiraN1,BaalutDiraNosefet1,BaalutDiraNosefetKama1,DiraNosefet121,DiraNosefetP121,KarkaAcheret1,m_MechirDiraKnuyaB12,m_KesefKniyaAtidit,KarkaChaklait1,KarkaChaklaitSetach1,MdidaKarkaChaklait,KarkaLoChaklait1,KamaKarkaLoChaklait1,GodelKarkaLoChaklait1,MdidaKarkaLoChaklait,m_Mechirkarka,KibelMechirDiraN1,KniyaAtiditDira1,MechiraDiraNKama1,MechiraDiraNosefet1,ShuviDirotLoMegurim1,GemelVPizuyimMB1,BituachMenahalimMb1,kPensiaMB1,PikdonotMB1,TChisachonMB1,kHishMB1,kNeemanutMB1,Cluster2015,ADechiyaMoedTashlum1,AKredit1,APrisatTushlum1,CheshbonChasum1,HalvaaLoDiyurAcher1,HalvaaLoDiyurAshrai1,HalvaaLoDiyurAvoda1,HalvaaLoDiyurBank1,HalvaaLoDiyurBituach1,HalvaaLoDiyurLising1,HeviDoch1,KesefHutzD1,KesefHutzDinarY1,KesefHutzE1,KesefHutzL1,MatbeaChisachon1,MatbeaHutz1,MatbeaLoNeemanut1,MatbeaNeemanut1,MatbeaPikdon1,MenayotMB1,Minus1,PniyaBank1,ShiirochChisachonChodesh1,ShiirochChisachonShana1,ShiirochChisachonYom1,ShiirochLoNeemanutChodesh1,ShiirochLoNeemanutShana1,ShiirochLoNeemanutYom1,ShiirochNeemanutChodesh1,ShiirochNeemanutShana1,ShiirochNeemanutYom1,ShiirochPikdonChodesh1,ShiirochPikdonShana1,ShiirochPikdonYom1,SugCheshbon1,m_SchumHalvaaDiyur1,M_ChodashimMinus1,M_PeamimPniyaBank1,M_ChodashimCheshbonChasum1,m_KesefMB1,OmdanShuviDira
4073,,6,2018,1270.21215,0,0,0,0,0,0,0,0,0,0,0,105106.5,148930.5,0,4,1,3,1,2,1,,1,,,,,,,,2,2,99999998,1,,,,,,2,,,,,,2,,1,2,2,3,4,2,2,,1,2,500,,,4,,4,8,4,2,,80,2,3,3,1,2,2,1,1,,,1,2,,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,2,2,1,2,2,2,2,5,2,2,1,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,0,,,,99999998,
4076,,6,2018,967.8201136,0,0,0,46200,0,0,0,0,0,0,0,6069,449425,0,7,5,2,1,1,1,,1,820,,12000,60000,,,,1,2,35000,1,2000000,,,,,1,1,2,1,2,2,1,2,5,1,3,3,2,2,1,1,,1,,2,2,8,,,,,2,3,250,4,,,,,,,,,,,,,,,,,,6,4,1,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,6,1,1,2012,7,1600000,1,,,,,,,,,,3,,,2,2,1,1,,2,2,,,2,,,2,,,,,,2,,2,,2,2,1,1,1,1,2,5,2,1,1,2,,,,,,,1,,,,,1,2,,,1,2,1,2,8,2018,2,,,,,,,8,2018,2,2,698990,4,,,3,
4077,,6,2018,936.1599424,35790.25,34358.64,1342.134375,0,0,0,0,0,29400,0,60127.62,0,219218.6444,0,2,0,2,1,1,1,,2,,,,,,,,2,2,20000,1,,,,,,1,1,2,1,2,2,1,1,5,2,3,3,3,3,2,,1,2,11666.66667,,,2,,1,4,2,2,,120,2,5,5,1,1,2,1,2,,,0,1,1,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,1,23,2,2,,,,6000000,,2,,2,,1,99999998,1,2,2,2,99999998,2,2,2,1,,,,,,,,,4,,,,,1,,,,1,2,,,,,0,,,,,,,,,2,0,,,,5,
4080,,6,2018,416.7420347,0,0,0,0,0,0,0,0,0,0,0,0,816.1666667,0,7,2,5,3,2,,,4,,,,99999998,,,,1,2,99999998,1,1600000,,,,,2,,,,,,1,2,5,4,3,3,2,2,4,,,1,,,,4,3,2,3,,2,,99999998,,4,4,2,2,2,2,2,2,,0,2,,2,,,2,3,4,2,2,2,1,1,2,99999998,2,2,1,1,2,2,2,2,2,1,2,99999998,1,1,2009,99999998,1000000,1,,,,,,,,2,2,,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,99999998,99999998,99999998,99999998,1,99999998,99999998,7,2,2,1,2,,,,,,,2,,,,,,99999998,,,,99999998,1,2,0,,,,,,,,,,,,1,99999998,12,,,99999998,
4081,,6,2018,875.5644511,0,0,0,0,0,0,0,0,0,0,0,10810,78010,0,6,0,6,3,3,1,,5,,,,,,,,2,2,99999998,1,,,,,,2,,,,,,1,2,5,5,99999998,3,2,2,5,,1,2,1200,,,4,,2,3,2,2,,60,4,4,4,1,2,2,2,2,,,0,2,,2,,,2,3,1,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,1,1,,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,99999998,99999998,1,99999998,99999998,1,2,4,1,1,1,2,,,,,,,,,,,,,2,,,,2,1,2,,,,,,,,,,,,,1,0,2,,,2,
4083,,6,2018,347.0830667,0,10000,0,54000,0,0,0,0,0,0,0,6888,335852,0,8,3,5,3,2,1,,1,,,,,,,,1,2,99999998,1,,,,,,2,,,,,,1,3,5,1,2,2,3,2,1,,1,2,4000,,,8,,,,,2,,80,4,4,4,1,2,2,2,1,,,0,1,1,,,,2,3,1,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,1,1,,2,,,2,,2,,,2,,,2,,,,,,2,,2,99999998,1,2,1,2,2,1,2,8,2,2,2,2,,,,,,,2,,,,,,2,,,,2,1,2,,,,,,,,,,,,,1,750000,12,,,5,
4084,,6,2018,295.6276211,0,0,0,0,0,0,0,0,0,0,0,4063,70063,0,7,4,3,0,2,1,,5,,,,,,,,2,2,99999998,1,,,,,,2,,,,,,2,,5,5,2,4,3,4,5,,1,2,3000,,,2,,2,1,1,1,,72,2,3,3,1,2,2,2,1,2,,0,,,1,1,25,2,3,8,1,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,2,2,2,2,2,2,2,6,2,2,2,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,0,,,,3,
4087,,6,2018,936.1599424,0,0,0,0,0,0,0,0,0,0,136002.95,0,472002.95,0,2,0,2,1,1,1,,1,,,,,,,,2,2,99999998,1,2500000,,,,,1,1,2,1,2,2,1,1,5,1,3,3,2,1,1,1,,1,,2,2,4,,4,5,3,2,,100,4,4,3,1,2,2,1,3,1,1,1,1,1,2,,,1,3,5,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,1,2,7,1,2,1999,4,1400000,1,,,,,,,,,,,2,,2,,,,,2,2,,,2,,,2,,,,,,2,,2,,1,2,1,2,2,1,2,2,1,2,1,,,,,,,,,4,,,,,1,,,,2,2,,,,,,,,,,,,,,1,0,,,,3,2782567.108
4094,,6,2018,414.2717351,0,0,0,0,0,0,0,0,0,0,0,5896.25,182262.25,0,5,1,4,1,3,1,,1,,,,,,,,99999999,2,99999999,1,99999998,,,,,1,2,2,1,2,2,1,2,5,1,3,3,3,3,1,1,,1,,2,2,5,,,,,2,,99999998,,5,4,1,1,2,1,3,1,2,0,1,2,1,99999998,,2,3,,,,,,,,,,,,,,,,,,,,8,2,,,,,,99999998,99999998,4,99999998,,99999998,,,,,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,99999999,99999999,99999999,99999999,99999999,99999999,99999999,7,2,2,2,,,,,,,,,,,,,,99999999,,,,99999999,99999999,,,,,,,,,,,,,,1,0,,,,99999999,2010138.534
4095,,6,2018,407.1649739,0,0,0,70800,0,0,0,0,0,0,0,9610.5,586966.5,0,3,1,2,1,1,1,,1,,,,99999998,99999998,,70000,2,1,99999998,1,,,,,,1,1,2,1,2,2,1,1,5,1,1,3,4,3,1,,1,2,7700,,,4,,5,8,99999998,2,,80,4,3,3,1,2,2,2,1,1,2,2,1,1,,,,2,3,5,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,,,,,,,,,,,,,,,,,,1,1,,2,,,2,,2,,,2,,,2,,,,,,2,,2,99999998,1,2,1,2,1,1,1,8,2,2,1,1,2,2,2,1,2,2,,,,,,,2,,,,2,1,2,0,,,,,,0,,,,,,2,0,12,,2,1,
4100,,6,2018,814.3581461,0,0,0,0,0,0,0,0,0,0,0,15918,15918,0,1,0,1,0,1,1,,1,,,,,,,,2,2,0,1,99999998,,,,,2,,,,,,2,,4,1,3,3,3,4,1,,2,3,,,,4,2,4,3,,2,,60,4,3,3,1,2,2,2,1,2,,0,1,,2,,,2,3,4,2,2,2,2,2,2,2,1,2,1,1,2,2,2,1,2,1,,,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,2,2,2,2,2,2,2,5,2,2,2,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,0,,,,3,
4108,,6,2018,233.4915438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,2,1,,3,,,,,,,45000,2,1,99999998,2,99999998,,,,,2,,,,,,1,1,3,3,4,3,4,5,3,1,,1,,2,2,4,,1,2,1,2,,156,3,3,3,1,2,1,2,2,2,,0,2,,,,,3,3,1,4,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,4,2,,,,,,99999998,99999998,3,,,,,,,,2,,2,,,,,2,2,,,1,4,2,2,,,,99999998,,2,,2,,2,2,2,2,2,2,2,2,,,,1,2,2,2,1,2,2,,,,,,,2,,,,2,1,1,,,,,,,,,,,,,1,0,12,99999998,1,1,
4111,,6,2018,441.9110837,0,0,0,0,0,39000,0,0,0,0,0,0,78000,0,5,3,2,1,1,,,4,,,,,,,39000,2,1,1000,1,,,,,,2,,,,,,2,,2,4,3,4,4,5,4,,,2,3000,,,4,0,2,4,,2,,70,4,3,3,1,2,2,2,1,2,,0,1,,1,,99999998,2,3,1,2,2,2,2,1,2,,1,2,2,1,1,2,2,2,2,1,2,99999998,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,2,2,99999998,2,2,2,2,7,2,1,1,2,2,2,2,1,2,2,,,,,,,2,,,,2,1,2,,,,,,,,,,,,,1,0,9,,,1,
4112,,6,2018,186.5886985,0,0,0,0,0,0,0,0,0,0,91200,3157.333333,94357.33333,0,10,0,10,6,4,1,,2,490,,,,,,140000,2,1,99999998,1,99999998,,,,,2,,,,,,1,3,1,2,99999998,3,4,5,2,1,,1,,2,2,8,,,,,2,2,200,4,4,4,2,2,2,1,2,2,,0,2,,,,,2,3,1,4,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,99999998,1,1,2016,12,1500000,1,,,,,,,,,,,2,,2,,,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,2,2,2,2,2,6,2,2,2,2,2,2,2,1,2,2,,,,,,,2,,,,2,1,2,,,,,,,,,,,,,1,0,12,,,1,
4115,,6,2018,445.8759609,0,0,0,0,0,0,0,0,0,0,0,20661,399861,0,5,0,5,3,2,1,,3,,,,,,,,2,2,5000,1,,,,,,2,,,,,,1,1,2,3,3,3,3,3,3,,,2,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,1,2,1,2,2,2,2,7,2,2,2,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,0,,,,2,
4116,,6,2018,986.7379698,0,0,0,0,0,0,0,0,0,0,0,13056,13056,0,1,0,1,0,1,,,1,,,,,,,,2,2,0,2,99999999,,,,,2,,,,,,2,,3,1,3,3,4,3,1,,,1,,,,4,1,3,6,,2,,99999998,,2,2,1,2,2,2,1,2,,0,2,,2,,,3,3,99999998,2,2,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,3,,,,,,,,,,,,,2,2,,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,0,,,,3,1674057.68
4118,,6,2018,619.6776973,0,0,0,0,0,0,0,0,0,0,102000,27564,195564,0,2,0,2,1,1,1,,2,,,,99999999,,,,2,2,20000,1,1500000,,,,,2,,,,,,1,1,4,2,3,3,2,2,2,1,,1,,2,2,4,,2,4,4,2,,57,99999998,3,3,1,2,2,2,2,2,,0,2,,,,,3,3,6,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,1,1,1994,9,99999998,,,,,,,,,,,,1,1,2,2,,,,2,2,,,2,,,2,,,,,,2,,2,,1,2,99999998,2,1,99999998,2,2,2,2,2,,,,,,,,,,,,,,2,,,,2,2,,0,,,,,,,,,,,,1,0,,,,4,1828286.292
4121,,6,2018,697.9809238,0,0,0,0,0,0,0,0,0,0,96000,13818,109818,0,1,0,1,1,0,1,,1,,,,,,,,2,2,30000,1,99999998,,,,,2,,,,,,1,1,2,1,99999998,3,2,2,1,1,,1,,2,2,5,,,,,2,,110,3,4,2,2,2,2,1,2,2,,0,1,1,1,1,390,3,3,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,1,2,3,1,1,1970,5,13500,7,,,,,,,,,,,,,2,,2,,,2,1,,,2,,,2,,,,99999998,,2,,2,,2,2,1,2,2,2,2,8,2,2,2,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,0,,,,3,1897837.439
4122,,6,2018,936.1599424,0,0,0,0,0,0,0,0,0,0,396163,34080,430243,1,2,0,2,1,1,1,,2,,,,,,,,2,2,40000,1,7500000,,,,,1,4,2,1,1,2,1,1,5,2,3,3,4,4,2,1,,1,,2,2,5,,,,,2,,200,3,5,5,1,1,1,1,4,1,1,1,1,4,,,,1,1,8,4,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,6,2,,,,,,1992,11,1,99999998,,99999998,,,,,2,,2,,,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,1,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,2,,,,2,1,2,,,,,,,,,,,,,1,0,3,,,5,6019998.722
4123,,6,2018,480.6191434,0,0,0,0,0,0,0,0,0,0,336000,26280,486936,0,2,0,2,1,1,1,,1,,,,,,,,2,2,99999998,1,99999998,,,,,2,,,,,,2,,5,1,3,3,2,2,1,1,,1,,2,2,4,,4,7,4,2,,160,4,5,4,1,2,2,1,3,1,2,1,2,,2,,,2,1,6,2,2,2,1,2,2,1,1,1,2,2,2,2,2,1,2,2,2,5,1,1,2006,5,515000,2,,,,,,,,,,,2,,2,,,,,2,2,,,2,,,2,,,,,,2,,2,,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,4,,,1,,,,2,2,,,,,,,,,,,,,,1,0,,,,5,3777471.622
4124,,6,2018,620.3674516,0,0,0,67200,0,36000,36000,0,0,0,36038,23944,199182,1,1,0,1,0,1,2,,1,,,,,,,,2,2,99999998,1,,,,,,2,,,,,,2,,2,1,3,3,4,3,1,,,2,12000,,,4,1,8,3,,2,,99999998,,1,1,2,2,2,2,1,2,,2,1,,2,,,2,1,4,2,2,2,1,2,2,,2,2,2,2,2,1,2,2,1,1,1,3,,,,,,,,,,,,,,,,,1,2,,2,,,2,,2,,,2,,,2,,,,,,2,,2,1400000,1,2,2,2,2,2,2,8,1,1,1,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,0,,,,1,
4125,,6,2018,583.2065904,0,0,0,0,0,0,0,0,0,0,156000,2303,158303,0,1,0,1,1,0,1,,1,,,,,,,,2,2,99999999,1,,,,,,1,99999998,2,1,2,2,1,1,4,1,3,3,99999998,2,1,,1,2,99999998,,,2,,1,2,1,1,,95,2,3,3,2,2,1,2,1,1,2,0,,,1,1,140,2,1,5,3,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,1,1,,2,,,2,,2,,,2,,,2,,,,,,2,,2,99999998,2,2,1,2,2,2,2,8,2,2,1,,,,,,,,,,,,,,2,,,,1,2,,,,,0,,,,,,,,,1,0,,,,99999999,
4129,,6,2018,674.6268639,0,0,0,0,0,120000,0,0,0,0,16028,14600,150628,1,1,0,1,0,1,1,,1,,,,,,,,2,2,14000,1,99999998,,,,,2,,,,,,1,1,5,1,3,3,4,3,1,1,,1,,2,2,4,,,3,2,2,,85,3,4,2,1,2,2,2,2,1,3,1,2,,2,,,2,3,2,3,2,2,1,2,2,2,1,2,2,1,2,2,1,2,2,1,,6,1,2,1988,99999998,99999998,,,,,,,,,,,,2,,2,,,,,2,2,,,2,,,2,,,,,,2,,2,,1,2,1,2,2,1,2,8,2,2,1,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,0,,,,3,2414928.637
4130,,6,2018,624.4161145,0,0,0,60000,0,0,0,0,0,0,0,13818,105818,0,1,0,1,1,0,1,,1,,,100000,,300000,200000,,2,2,5000,1,,20,,,,2,,,,,,2,,1,1,3,3,2,2,1,,1,2,0,,,4,,2,99999998,2,2,,60,3,2,2,2,2,2,2,1,2,,0,2,,,,,1,3,4,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,1,2,,2,,,2,,2,,,2,,,2,,,,,,2,,2,2500000,2,2,2,1,2,1,1,8,2,2,2,,,,,,,,,,,,,,2,1,1,1,1,2,,,,,7,2018,1,7,2018,1,7,2018,1,1,0,,,,5,
4132,,6,2018,709.1400502,0,0,0,0,0,0,0,0,0,0,104647,21756,126403,1,1,0,1,0,1,1,,1,,,99999998,,99999999,,,2,2,15000,1,2300000,,,,,2,,,,,,1,1,3,1,3,3,2,3,1,1,,1,,2,2,4,,3,3,3,2,,100,3,4,1,2,2,2,2,2,1,2,1,2,,2,,,1,3,5,2,2,2,2,2,2,,1,2,2,2,2,2,2,2,2,2,2,7,1,3,99999998,99999998,900000,1,,,,,,,,,,3,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,1,2,2,1,2,1,1,8,2,2,2,,,,,,,,,,,,,,2,,,,1,2,,,,,0,,,0,,,0,,,1,0,,,,99999999,2183145.465
4136,,6,2018,986.7379698,0,0,0,0,0,0,18000,0,0,0,42116,33708,93824,1,1,0,1,0,1,1,,1,,,,,,,,2,2,99999998,1,,,,,,2,,,,,,2,,2,1,3,3,3,3,1,,1,2,5000,,,4,,8,8,5,1,,99999998,,2,2,2,2,2,2,1,2,,4,,,2,,,1,2,2,1,2,2,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,2,2,2,2,2,2,2,2,1,2,1,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,0,,,,2,
4139,,6,2018,620.3674516,0,0,0,0,0,0,0,0,0,0,42000,123522,165522,0,1,0,1,0,1,,,1,,,,,,,,2,2,0,2,,,,,,2,,,,,,2,,1,1,3,3,2,2,1,,,2,600,,,4,3,4,4,,2,,45,4,2,1,1,2,2,2,1,2,,1,2,,2,,,1,3,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,99999998,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,2,2,2,2,2,2,2,8,,,,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,0,,,,5,
4140,,6,2018,441.9545464,0,0,0,0,0,0,0,0,15132.708,0,80257,21897,117286.708,1,2,0,2,0,2,2,,1,,,,,,,,2,2,99999998,1,,,,,,1,4,2,1,1,2,2,,2,1,3,3,3,3,1,,,2,4000,,,4,10,99999998,13,,2,,35,4,2,2,2,1,2,2,1,2,,4,1,,2,,,2,2,1,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,5,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,2,2,2,2,2,2,2,2,1,2,1,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,0,,,,99999998,
4144,,6,2018,620.3674516,0,0,0,0,0,0,0,0,0,0,0,14598,14598,0,1,0,1,0,1,1,,1,,,,,,,,2,2,0,2,99999998,,,,,2,,,,,,2,,5,1,3,3,4,3,1,1,,1,,2,2,4,,,4,2,2,,73,3,2,2,2,2,2,2,1,2,,0,2,,,,,3,3,1,3,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,,,3,1,1,1966,99999998,12000,2,,,,,,,,,,,2,,2,,,,,2,2,,,2,,,2,,,,,,2,,2,,1,2,2,2,2,2,2,8,,,,,,,,,,,,,,,,,99999998,,,,2,2,,,,,,,,,,,,,,1,0,,,,5,2930566.418
4146,,6,2018,693.7360853,0,0,0,24000,0,0,0,0,0,0,216000,27246,267246,0,1,0,1,0,1,1,,1,,,,80000,,,,2,2,20000,1,99999998,,,,,2,,,,,,2,,5,1,3,3,1,1,1,1,,1,,2,2,5,,,,,1,,160,3,5,2,1,1,2,1,3,1,2,0,,,1,1,35,1,3,8,3,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,7,2,,,,,,1998,99999998,1,50000,1,200000,1,,,,,,2,2,1,1,,2,2,,,2,,,2,,,,,,2,,2,,2,2,1,2,1,2,2,8,2,2,2,,,,,,,,,,,,,1,2,,,,2,2,,7,2018,22,,,,,,,,,,1,0,,,,5,2358521.25
4147,,6,2018,360.5747654,0,0,0,0,0,0,0,0,0,0,180000,99612,279612,0,1,0,1,0,1,1,,1,,,99999999,,,,,2,2,50000,1,99999998,,,,,1,1,2,1,2,2,1,1,5,1,99999998,3,2,2,1,1,,1,,2,2,4,,2,4,2,2,,100,4,5,5,1,1,2,2,2,1,1,1,1,1,2,,,2,3,5,3,2,2,1,2,2,2,1,2,2,1,2,2,2,1,2,1,2,6,1,2,1990,1,99999998,,,,,,,,,,,,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,2,1,2,2,2,8,2,2,1,,,,,,,,,,,,,,2,0,,,1,2,,,,,0,,,,,,0,,,1,0,,,,5,2375243.344
4150,,6,2018,542.9234156,0,0,0,0,0,0,0,0,0,0,0,13005.5,83805.5,0,1,0,1,1,0,1,,1,,,,,,,,2,2,99999998,1,99999998,,,,,1,1,2,1,2,2,99999999,,3,1,99999998,3,4,3,1,1,,1,,2,2,4,,2,3,2,2,,60,4,2,2,1,2,2,2,0,2,,0,1,1,,,,2,3,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,3,3,,,,,,,,,,,,,,,,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,1,2,2,2,2,7,2,2,1,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,0,,,,99999999,1061038.335
4155,,6,2018,322.1900944,0,0,0,0,0,0,0,0,0,0,60000,33366,93366,0,2,0,2,1,1,1,,1,,,100000,,,800000,,2,2,20000,1,1700000,50,,50,,2,,,,,,2,,2,1,3,3,2,2,1,1,,1,,2,2,4,,4,7,4,2,,75,1,3,3,1,2,2,2,2,2,,1,2,,2,,,2,3,1,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,4,1,2,1973,99999998,99999998,,,,,,,,,,,,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,1,1,2,2,2,8,2,2,1,,,,,,,,,,,,,,2,1,,1,1,2,,,,,5,2018,31,,,,5,2018,31,1,0,,,,4,1786817.492
4156,,6,2018,322.1900944,0,0,0,0,0,0,0,0,0,0,62400,27636,90036,0,2,0,2,1,1,1,,2,,,,,,,,1,2,25000,1,2500000,,,,,2,,,,,,1,2,5,2,3,3,3,3,2,1,,1,,2,2,4,,4,11,4,2,,87,3,3,3,2,1,2,1,2,1,1,2,1,1,2,,,1,3,8,2,2,2,2,1,2,2,1,2,2,1,2,1,2,2,2,2,1,8,1,2,2003,8,1100000,1,,,,,,,,,,,2,,2,,,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,1,2,2,2,2,8,1,2,1,2,,,,,,,2,,,,,,2,,,,2,1,1,,,,,,,,,,,,,1,550000,4,3,,3,3440983.154
4159,,6,2018,1101.728264,0,0,0,0,0,0,0,0,0,0,156000,29930,408254,0,1,0,1,0,1,1,,1,,,,,,,,2,2,12000,1,99999998,,,,,2,,,,,,1,1,5,1,3,3,1,1,1,1,,1,,2,2,2,,2,2,1,2,,,,,,,,,,,,,,,,,,,,,6,4,2,2,1,2,2,,1,2,2,2,2,2,2,2,2,2,,99999998,1,1,1996,6,99999998,,,,,,,,,,,,2,,2,,,,,2,2,,,2,,,2,,,,,,2,,2,,1,2,1,99999998,99999998,1,2,7,2,2,2,,,,,,,,,4,,2,,,1,,,,2,2,,,,,,,,,,,,,,1,0,,,,5,
